ts pkg_count pkg_ms core_count core_ms mhz4 mhz60
1789360947.156453426 43282 95379 417 894 1125 800
1789360949.183099426 43282 95379 417 894 796 800
1789360951.213809909 43282 95379 417 894 799 3100
1789360953.243044916 43282 95379 417 894 798 3100
1789360955.271535886 43282 95379 417 894 2900 2900
1789360957.299069273 43282 95379 417 894 798 800
1789360959.325621292 43282 95379 417 894 798 800
1789360961.352556481 43282 95379 417 894 774 800
1789360963.382613464 43282 95379 417 894 775 800
1789360965.410790697 43282 95379 417 894 800 800
1789360967.435935631 43282 95379 417 894 774 800
1789360969.463102528 43282 95379 417 894 2235 800
1789360971.490044200 43282 95379 417 894 783 800
1789360973.516545280 43282 95379 417 894 899 800
1789360975.546250977 43282 95379 417 894 1490 2900
1789360977.572944840 43282 95379 417 894 843 2600
1789360979.600387721 43282 95379 417 894 799 800
1789360981.631927152 43282 95379 417 894 800 2977
1789360983.673845212 43282 95379 417 894 3242 2900
1789360985.746527730 43282 95379 417 894 1992 800
1789360987.774616957 43282 95379 417 894 800 800
1789360989.802680010 43282 95379 417 894 800 800
1789360991.827456141 43282 95379 417 894 767 800
1789360993.857185061 43282 95379 417 894 800 800
1789360995.881486396 43282 95379 417 894 800 800
1789360997.906063770 43282 95379 417 894 2880 2815
1789360999.922614757 43282 95379 417 894 1605 1392
1789361001.940484936 43282 95379 417 894 799 800
1789361003.966509215 43282 95379 417 894 3400 800
1789361005.996784083 43282 95379 417 894 1900 800
1789361008.026783331 43282 95379 417 894 799 800
1789361010.055726363 43282 95379 417 894 3400 800
1789361012.080721692 43282 95379 417 894 1001 800
1789361014.110273800 43282 95379 417 894 804 800
1789361016.132749512 43282 95379 417 894 3399 800
1789361018.176852565 43282 95379 417 894 2899 2899
1789361020.266103392 43282 95379 417 894 799 800
1789361022.293380544 43282 95379 417 894 3399 3346
1789361024.320087207 43282 95379 417 894 3841 800
1789361026.346789325 43282 95379 417 894 3790 800
1789361028.370829953 43282 95379 417 894 797 800
1789361030.398329703 43282 95379 417 894 2498 800
1789361032.420620849 43282 95379 417 894 2878 2303
1789361034.434963794 43282 95379 417 894 3400 3399
1789361036.461222250 43282 95379 417 894 3710 800
1789361038.492146421 43282 95379 417 894 1292 1521
1789361040.523706952 43282 95379 417 894 3399 800
1789361042.550974267 43282 95379 417 894 3137 800
1789361044.576239669 43282 95379 417 894 3215 3400
1789361046.601545652 43282 95379 417 894 3400 800
1789361048.631460849 43282 95379 417 894 3096 3100
