epoch,n_busy,busy_median_khz,busy_p90_khz,all_median_khz,loadavg
1788880369,20,2818503,3028110,800000,9.38
1788880399,24,2807525,2987479,800000,10.63
1788880429,25,2866764,3064471,1367896,11.94
1788880459,22,2826295,2993597,800000,11.00
1788880490,25,2880427,3100000,1626348,11.15
1788880520,13,2342971,3304092,800000,9.36
1788880550,29,2900000,2987147,2876118,10.24
1788880580,21,2884601,3100000,800000,9.71
1788880610,24,2900000,2935536,800000,8.90
1788880640,24,2900000,3082363,800000,8.66
1788880670,24,2899979,2900000,994388,8.51
1788880700,25,2900000,3100000,2693719,8.36
1788880730,23,2900000,3100045,800000,6.95
1788880761,22,2900021,3095903,800000,6.84
1788880791,21,2900000,3100000,800000,7.51
1788880821,20,2894740,3090671,800000,7.76
1788880851,19,3079877,3100000,800000,7.75
1788880881,21,2900000,3386463,800000,8.16
1788880911,7,2948809,3400000,800000,7.33
1788880941,16,2599805,2900000,800000,7.18
1788880971,19,2900000,3100000,800000,6.59
1788881001,18,2723201,3100000,800000,6.66
1788881032,27,2900000,3006053,1946439,6.35
1788881062,15,2892245,2900000,800000,7.25
1788881092,23,2852820,2900000,800060,6.82
1788881122,8,2226366,3100031,800000,5.04
1788881152,23,2900000,3100000,800000,8.76
1788881182,23,2900000,2995068,800000,10.04
1788881212,21,2895879,2902746,800000,11.94
1788881242,24,2898388,3066091,800000,10.74
1788881272,23,2895776,2900000,800000,10.41
1788881303,20,2900000,3209298,800000,11.18
1788881333,8,2170175,3100000,800000,7.42
1788881363,22,2802896,2953409,800000,7.93
1788881393,21,2806312,2996911,800000,9.89
1788881423,17,2996557,3097958,800000,10.00
1788881453,24,2834116,3021732,870977,10.89
1788881483,25,2859278,3100000,2099724,11.21
1788881513,24,2875557,3353773,948073,11.03
1788881543,23,2900000,2900029,800000,9.07
1788881573,28,2899929,2900000,2812219,10.04
1788881604,26,2900000,2909402,2175712,9.86
1788881634,27,2899912,3036936,2429980,10.22
1788881664,26,2900000,3100000,2430788,9.74
1788881694,27,2900000,3098337,2893995,9.74
1788881724,15,2094369,3100000,800000,7.33
1788881754,24,2899945,3014148,800000,6.72
1788881784,24,2900000,3350984,858199,6.91
1788881814,21,2900000,3100000,800000,7.45
1788881844,21,2915534,3099852,800000,7.19
1788881875,23,2900000,3100000,800000,7.52
1788881905,27,2899956,2900000,2614459,7.57
1788881935,21,2826430,2900029,800000,5.94
1788881965,24,2897549,2951682,843082,6.62
1788881995,20,2681411,2904671,800000,6.81
1788882025,20,2899862,3100000,800000,6.23
1788882055,24,2900000,3096935,800000,6.06
1788882085,21,2872248,2900000,800000,6.52
1788882115,4,2481967,3399965,800000,6.08
1788882145,21,2900000,3100000,800000,6.23
1788882176,14,2900000,3400000,800000,9.37
1788882206,27,2900000,3100000,2451809,9.29
1788882236,27,2898788,2900031,2429629,11.30
1788882266,22,2900000,3046013,800000,12.27
1788882296,23,2897823,3006649,800000,13.66
1788882326,19,2513219,3055598,800000,12.64
1788882356,22,2841051,3040243,800000,10.38
1788882386,22,2819350,2982727,800000,11.05
1788882416,24,2800802,2981049,849084,10.89
1788882447,21,2889012,3100000,800000,11.17
1788882477,20,2856440,3090123,800000,11.10
1788882507,29,2813655,2999547,2770205,12.71
1788882537,4,1500000,2704074,800000,11.04
1788882567,21,2899970,2900768,800000,10.34
1788882597,25,2900000,2900022,1795714,10.01
